DOI,Rendimento (%),Temperatura (°C),Tempo (min),Solvente - Nome,Solvente - SMILES,Concentração Frutose (mmol/L),Catalisador - Nome,Catalisador - SMILES,Concentração do Cat (mol%),Aditivo - Nome,Aditivo - SMILES,Concentração do Aditivo (mol/L)
https://doi.org/10.1016/j.mcat.2019.01.003,100,140,60,DMSO,CS(C)=O,"2,00E+02",HReO4,[H+].O=[Re-](=O)(=O)=O,"10,00",,#N/A,
https://doi.org/10.1039/D2GC04046H,78,150,60,MBIK,CC(C)CC(=O)C,"5,50E+01",La(OTf)3,[La+3].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,"4,00",Cloreto de colina,[Cl-].OCC[N+](C)(C)C,"82,50"
https://doi.org/10.1039/D2GC04046H,80,150,60,MBIK,CC(C)CC(=O)C,"5,50E+01",Ce(OTf)3,[Ce+3].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,"4,00",Cloreto de colina,[Cl-].OCC[N+](C)(C)C,"82,50"
https://doi.org/10.1039/D2GC04046H,99,150,60,MBIK,CC(C)CC(=O)C,"5,50E+01",Ho(OTf)3,[Ho+3].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,"4,00",Cloreto de colina,[Cl-].OCC[N+](C)(C)C,"82,50"
https://doi.org/10.1039/D2GC04046H,99,150,60,MBIK,CC(C)CC(=O)C,"5,50E+01",Er(OTf)3,[Er+3].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,"4,00",Cloreto de colina,[Cl-].OCC[N+](C)(C)C,"82,50"
https://doi.org/10.1039/D2GC04046H,99,150,60,MBIK,CC(C)CC(=O)C,"5,50E+01",Yb(OTf)3,[Sc+3].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,"4,00",Cloreto de colina,[Cl-].OCC[N+](C)(C)C,"82,50"
https://doi.org/10.1039/D2GC04046H,99,150,60,MBIK,CC(C)CC(=O)C,"5,50E+01",Sc(OTf)3,[Yb+3].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,"4,00",Cloreto de colina,[Cl-].OCC[N+](C)(C)C,"82,50"
https://doi.org/10.1016/j.molcata.2006.03.046,92,90,45,HMIMCL,C[N+]1=CNC=C1.[Cl-],"2,00E+03",,#N/A,,,#N/A,
https://doi.org/10.1039/C8RA07027J,21,80,30,DMSO,CS(C)=O,"3,33E+02",P2O5,O=P(=O)OP(=O)=O,"10,00",,#N/A,
https://doi.org/10.1039/C8RA07027J,67,80,30,DMSO,CS(C)=O,"3,33E+02",P2O5,O=P(=O)OP(=O)=O,"10,00",CrCl3.6H2O,O.O.O.O.O.O.Cl[Cr](Cl)Cl,"33,31"
https://doi.org/10.1039/C8RA07027J,49,80,30,DMSO,CS(C)=O,"3,33E+02",P2O5,O=P(=O)OP(=O)=O,"10,00",Cr(NO3)3.9H2O,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.O.O.O.[Cr+3],"33,31"
https://doi.org/10.1039/C8RA07027J,26,80,30,DMSO,CS(C)=O,"3,33E+02",P2O5,O=P(=O)OP(=O)=O,"10,00",Cr2(SO4)3.6H2O,O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Cr+3].[Cr+3],"33,31"
https://doi.org/10.1039/C8RA07027J,2,80,30,DMSO,CS(C)=O,"3,33E+02",H3PO4,OP(=O)(O)O,"20,00",,#N/A,
https://doi.org/10.1021/ja808537j,16,80,60,DMA,CC(=O)N(C)C,"5,40E+02",H2SO4,OS(=O)(=O)O,"6,00",,#N/A,
https://doi.org/10.1021/ja808537j,58,80,300,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,21",,#N/A,
https://doi.org/10.1021/ja808537j,62,100,240,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,21",,#N/A,
https://doi.org/10.1021/ja808537j,65,120,120,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,21",,#N/A,
https://doi.org/10.1021/ja808537j,55,140,30,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,21",,#N/A,
https://doi.org/10.1002/anie.200803207,65,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",NHC1/CrCl2,[C]1N(C=CN1CCCC)C.Cl[Cr]Cl,"9,00",,#N/A,
https://doi.org/10.1002/anie.200803207,68,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",NHC2/CrCl2,[C]1N(C=CN1C(C)C)C(C)C.Cl[Cr]Cl,"9,00",,#N/A,
https://doi.org/10.1002/anie.200803207,76,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",NHC3/CrCl2,[C]1N(CCN1C(C)(C)C)C(C)(C)C.Cl[Cr]Cl,"9,00",,#N/A,
https://doi.org/10.1002/anie.200803207,89,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",NHC4/CrCl2,[C]1N(C=CN1C=2C(=CC(=CC2C)C)C)C=3C(=CC(=CC3C)C)C.Cl[Cr]Cl,"9,00",,#N/A,
https://doi.org/10.1002/anie.200803207,76,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",NHC5/CrCl2,[C]1N(C=2C(=CC(=CC2C)C)C)CCN1C=3C(=CC(=CC3C)C)C.Cl[Cr]Cl,"9,00",,#N/A,
https://doi.org/10.1002/anie.200803207,96,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",NHC6/CrCl2,[C]1N(C=CN1C=2C(=CC=CC2C(C)C)C(C)C)C=3C(=CC=CC3C(C)C)C(C)C.Cl[Cr]Cl,"9,00",,#N/A,
https://doi.org/10.1002/anie.200803207,93,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",NHC7/CrCl2,[C]1N(C=2C(=CC=CC2C(C)C)C(C)C)CCN1C=3C(=CC=CC3C(C)C)C(C)C.Cl[Cr]Cl,"9,00",,#N/A,
https://doi.org/10.1002/anie.200803207,0,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",[NHC8/(CrCl2)2],[C]1N(C=CN1CC=2C=CC=CC2)CC=3N=C(C=CC3)CN4[C]N(C=C4)CC=5C=CC=CC5.Cl[Cr]Cl.Cl[Cr]Cl,"9,00",,#N/A,
https://doi.org/10.1002/anie.200803207,74,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",NHC8/CrCl2,[C]1N(C=CN1CC=2C=CC=CC2)CC=3N=C(C=CC3)CN4[C]N(C=C4)CC=5C=CC=CC5.Cl[Cr]Cl,"9,00",,#N/A,
https://doi.org/10.1002/anie.200803207,90,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",NHC4/CrCl3,[C]1N(C=CN1C=2C(=CC(=CC2C)C)C)C=3C(=CC(=CC3C)C)C.Cl[Cr](Cl)Cl,"9,00",,#N/A,
https://doi.org/10.1002/anie.200803207,77,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",NHC5/CrCl3,[C]1N(C=2C(=CC(=CC2C)C)C)CCN1C=3C(=CC(=CC3C)C)C.Cl[Cr](Cl)Cl,"9,00",,#N/A,
https://doi.org/10.1002/anie.200803207,96,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",NHC6/CrCl3,[C]1N(C=CN1C=2C(=CC=CC2C(C)C)C(C)C)C=3C(=CC=CC3C(C)C)C(C)C.Cl[Cr](Cl)Cl,"9,00",,#N/A,
https://doi.org/10.1002/anie.200803207,83,100,360,BMIMCL,CCCCN1C=C[N+](=C1)C.[Cl-],"5,79E+02",NHC7/CrCl3,[C]1N(C=2C(=CC=CC2C(C)C)C(C)C)CCN1C=3C(=CC=CC3C(C)C)C(C)C.Cl[Cr](Cl)Cl,"9,00",,#N/A,
https://doi.org/10.1007/s11164-012-0837-x,1,90,1,NMP,O=C1N(C)CCC1,"5,79E+02",,#N/A,,,#N/A,
https://doi.org/10.1007/s11164-012-0837-x,56,90,1,NMP,O=C1N(C)CCC1,"4,63E+02",NBS,C1CC(=O)N(C1=O)Br,"10,00",,#N/A,
https://doi.org/10.1007/s11164-012-0837-x,36,90,1,NMP,O=C1N(C)CCC1,"4,63E+02",NCS,C1CC(=O)N(C1=O)Cl,"10,00",,#N/A,
https://doi.org/10.1007/s11164-012-0837-x,32,90,1,NMP,O=C1N(C)CCC1,"4,63E+02",NIS,C1CC(=O)N(C1=O)I,"10,00",,#N/A,
https://doi.org/10.1007/s11164-012-0837-x,1,90,2,NMP,O=C1N(C)CCC1,"4,63E+02",NHS,C1CC(=O)N(C1=O)O,"10,00",,#N/A,
https://doi.org/10.1007/s11164-012-0837-x,31,90,1,NMP,O=C1N(C)CCC1,"4,63E+02",N-Cloroftalimida,C1=CC=C2C(=C1)C(=O)N(C2=O)O,"10,00",,#N/A,
https://doi.org/10.1007/s11164-012-0837-x,1,90,2,NMP,O=C1N(C)CCC1,"4,63E+02",N-Hidroxiftalimida,C1=CC=C2C(=C1)C(=O)NC2=O,"10,00",,#N/A,
https://doi.org/10.1007/s11164-012-0837-x,1,90,2,NMP,O=C1N(C)CCC1,"4,63E+02",Ftalimida,C1=CC=C2C(=C1)C(=O)NC2=O,"10,00",,#N/A,
https://doi.org/10.1246/bcsj.74.1145,4,140,60,H2O,#N/A,"3,00E+02",,#N/A,,,#N/A,
https://doi.org/10.1246/bcsj.74.1145,16,140,60,H2O,#N/A,"3,00E+02",LaCl3,#N/A,"2,00",,#N/A,
https://doi.org/10.1246/bcsj.74.1145,16,140,60,H2O,#N/A,"3,00E+02",NdCl3,#N/A,"2,00",,#N/A,
https://doi.org/10.1246/bcsj.74.1145,18,140,60,H2O,#N/A,"3,00E+02",EuCl3,#N/A,"2,00",,#N/A,
https://doi.org/10.1246/bcsj.74.1145,17,140,60,H2O,#N/A,"3,00E+02",DyCl3,#N/A,"2,00",,#N/A,
https://doi.org/10.1246/bcsj.74.1145,18,140,60,H2O,#N/A,"3,00E+02",YbCl3,#N/A,"2,00",,#N/A,
https://doi.org/10.1021/ja808537j,66,80,240,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",H2SO4,OS(=O)(=O)O,"0,03"
https://doi.org/10.1021/ja808537j,66,80,240,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl2,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,58,80,240,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",RuCl3,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,60,80,300,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",PdCl2,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,62,80,300,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,57,80,60,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,02",H2SO4,OS(=O)(=O)O,"0,03"
https://doi.org/10.1021/ja808537j,63,100,300,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",H2SO4,OS(=O)(=O)O,"0,03"
https://doi.org/10.1021/ja808537j,55,100,240,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl2,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,65,100,300,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",RuCl3,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,62,100,240,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",PdCl2,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,62,100,300,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,66,100,300,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CrCl2,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,68,120,60,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",H2SO4,OS(=O)(=O)O,"0,03"
https://doi.org/10.1021/ja808537j,71,120,180,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,61,120,90,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",RuCl3,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,66,120,180,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",PtCl2,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,65,120,180,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl2,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,66,140,30,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",H2SO4,OS(=O)(=O)O,"0,03"
https://doi.org/10.1021/ja808537j,58,140,30,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,58,140,30,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",PtCl2,#N/A,"0,03"
https://doi.org/10.1021/ja808537j,62,140,30,DMA,CC(=O)N(C)C,"5,40E+02",LiCl,[Li+].[Cl-],"0,20",CuCl2,#N/A,"0,03"
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,
,,,,,#N/A,,,#N/A,,,#N/A,